"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
2006/07 Application Cycle",,,,,,,,
Data Element and Value,Initial Application,,,,,,,Final Transaction
,2006,,,,2007,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6+,,
Total (Applicant Count),"5,137,719","3,955,290","2,730,051","1,054,763","776,840","386,661","14,041,324","14,041,324"
Gender,,,,,,,,
Female,"3,152,173","2,430,982","1,639,635","646,439","474,800","248,702","8,592,731","8,651,346"
Male,"1,929,308","1,470,196","1,044,599","387,299","287,784","131,105","5,250,291","5,250,770"
Blank,"56,238","54,112","45,817","21,025","14,256","6,854","198,302","139,208"
Age,,,,,,,,
18 or Less,"789,687","316,012","179,089","72,225","70,139","44,620","1,471,772","1,471,739"
19 through 24,"2,765,076","2,034,396","1,284,468","401,923","267,916","114,930","6,868,709","6,872,338"
25 or Greater,"1,580,918","1,602,546","1,264,945","579,916","438,449","226,975","5,693,749","5,695,595"
Age Unknown,"2,038","2,336","1,549",699,336,136,"7,094","1,652"
Grade Entering,,,,,,,,
"1st Year, Never Attended College Before","1,293,237","794,340","681,679","353,875","291,235","160,719","3,575,085","3,590,910"
"1st Year, Attended College Before","515,612","661,723","604,915","284,883","211,517","101,421","2,380,071","2,438,973"
2nd Year/Sophomore,"1,045,962","812,223","480,343","128,765","78,915","30,939","2,577,147","2,582,363"
3rd Year/Junior,"883,906","613,870","344,220","97,977","64,232","26,254","2,030,459","2,006,115"
4th Year/Senior,"598,446","397,876","197,631","41,143","26,019","10,176","1,271,291","1,267,570"
5th Year/Other Undergraduate,"196,471","173,278","116,801","30,674","19,088","8,527","544,839","538,652"
1st Year Graduate/Professional,"250,296","189,282","126,070","60,517","46,476","27,322","699,963","695,976"
Continuing Graduate/Professional,"343,678","298,801","168,529","52,356","36,556","20,122","920,042","894,624"
Blank,"10,111","13,897","9,863","4,573","2,802","1,181","42,427","26,141"
Degree Pursuing,,,,,,,,
