"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
2008/09 Application Cycle",,,,,,,,
Data Element and Value,Initial Application,,,,,,,Final Transaction
,2008,,,,2009,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6+,,
Total (Applicant Count),"5,625,128","4,371,970","3,307,565","1,439,453","1,104,530","563,825","16,412,471","16,412,471"
Gender,,,,,,,,
Female,"3,476,437","2,730,015","2,022,773","882,265","666,534","351,516","10,129,540","10,136,207"
Male,"2,144,242","1,637,142","1,280,295","554,702","435,980","211,217","6,263,578","6,261,754"
Blank,"4,449","4,813","4,497","2,486","2,016","1,092","19,353","14,510"
Age,,,,,,,,
18 or Less,"900,663","338,006","205,053","99,449","91,127","56,291","1,690,589","1,689,871"
19 through 24,"3,013,857","2,175,895","1,491,721","523,480","359,085","159,899","7,723,937","7,725,760"
25 or Greater,"1,710,281","1,857,701","1,610,571","816,407","654,257","347,601","6,996,818","6,996,600"
Age Unknown,327,368,220,117,61,34,"1,127",240
Grade Entering,,,,,,,,
"1st Year, Never Attended College Before","1,474,610","894,099","847,704","513,661","441,731","251,593","4,423,398","4,428,310"
"1st Year, Attended College Before","562,137","750,124","744,546","392,309","304,544","149,723","2,903,383","2,972,984"
2nd Year/Sophomore,"1,159,907","903,618","576,593","169,704","106,486","42,197","2,958,505","2,957,793"
3rd Year/Junior,"948,936","674,362","413,156","127,785","83,258","35,108","2,282,605","2,242,088"
4th Year/Senior,"624,742","420,266","226,820","50,355","32,720","12,765","1,367,668","1,364,175"
5th Year/Other Undergraduate,"209,854","188,400","142,664","43,312","30,079","14,281","628,590","620,499"
1st Year Graduate/Professional,"267,986","212,054","151,486","77,409","59,158","33,818","801,911","802,261"
Continuing Graduate/Professional,"376,211","327,636","203,174","64,158","45,827","23,917","1,040,923","1,020,301"
Blank,745,"1,411","1,422",760,727,423,"5,488","4,060"
Degree Pursuing,,,,,,,,
1st Bachelor's Degree,"3,423,274","1,963,427","1,150,295","390,639","282,712","130,352","7,340,699","7,327,502"
2nd Bachelor's Degree,"45,540","42,640","31,742","16,156","10,968","5,767","152,813","149,962"
Associate Degree (Occupational or Technical),"543,817","665,758","600,394","303,914","229,387","119,377","2,462,647","2,470,610"
Associate Degree (General Education or Transfer),"489,586","526,538","504,764","211,007","148,683","70,002","1,950,580","1,961,463"
Certificate or Diploma (Less than 2 Years),"126,106","291,018","331,254","204,689","205,208","117,648","1,275,923","1,315,778"
Certificate or Diploma (At Least 2 Years),"84,103","106,445","100,896","49,275","33,807","16,013","390,539","387,615"
Teaching Credential (Nondegree),"21,204","19,475","19,833","9,330","7,208","4,370","81,420","81,757"
Graduate or Professional Degree,"657,934","542,837","352,961","139,686","101,800","55,533","1,850,751","1,838,732"
Other/Undecided,"218,839","182,904","179,823","91,012","62,416","30,672","765,666","730,007"
Blank,"14,725","30,928","35,603","23,745","22,341","14,091","141,433","149,045"
Parent Education Level,,,,,,,,
Neither Parent Completed College or Beyond,"2,558,781","2,197,981","1,808,674","845,895","669,483","351,572","8,432,386","8,433,672"
