"Free Application for Federal Student Aid (FAFSA)
By Various Demographics Characteristics
2017/18 Application Cycle",,,,,,,,,
Data Element and Value,Initial Application,,,,,,,,Final Transaction
,2016,2017,,,,2018,,Total,Total
,Q1,Q2,Q3,Q4,Q5,Q6,Q7+,,
Total (Applicant Count),"5,419,318","4,985,325","3,641,353","2,915,999","898,769","726,946","381,906","18,969,616","18,969,616"
Gender,,,,,,,,,
Female,"3,346,859","3,015,893","2,227,392","1,731,193","545,359","445,336","240,077","11,552,109","11,585,519"
Male,"2,040,150","1,939,148","1,388,840","1,162,832","340,875","268,456","133,720","7,274,021","7,276,116"
Blank,"32,309","30,284","25,121","21,974","12,535","13,154","8,109","143,486","107,981"
Age,,,,,,,,,
18 or Less,"936,199","466,122","212,314","164,880","74,661","56,099","54,785","1,965,060","1,965,769"
19 through 24,"2,722,824","2,731,080","1,740,355","1,310,278","294,616","219,227","94,380","9,112,760","9,113,869"
25 or Greater,"1,760,284","1,788,087","1,688,645","1,440,802","529,478","451,610","232,741","7,891,647","7,889,915"
Age Unknown,11,36,39,39,14,10,0,149,63
Grade Entering,,,,,,,,,
"1st Year, Never Attended College Before","1,654,912","1,032,302","691,205","633,459","269,398","226,261","139,964","4,647,501","4,648,859"
"1st Year, Attended College Before","721,594","686,923","627,393","600,124","229,219","195,891","97,735","3,158,879","3,261,657"
2nd Year/Sophomore,"1,034,701","981,812","680,011","508,011","107,724","79,592","34,228","3,426,079","3,441,797"
3rd Year/Junior,"832,969","856,489","570,421","400,280","86,154","63,708","26,053","2,836,074","2,807,566"
4th Year/Senior,"504,533","542,691","349,999","235,233","36,251","24,187","10,438","1,703,332","1,707,579"
5th Year/Other Undergraduate,"168,507","213,972","168,518","141,357","34,967","26,049","12,028","765,398","767,804"
1st Year Graduate/Professional,"184,309","263,840","202,565","139,476","57,031","48,960","27,545","923,726","920,979"
Continuing Graduate/Professional,"317,739","407,168","351,076","257,901","77,928","62,233","33,880","1,507,925","1,412,787"
Blank,54,128,165,158,97,65,35,702,588
Degree Pursuing,,,,,,,,,
1st Bachelor's Degree,"3,229,784","2,671,579","1,565,893","1,104,595","291,402","223,330","110,988","9,197,571","9,168,190"
2nd Bachelor's Degree,"46,875","50,593","44,104","34,898","14,537","10,556","5,161","206,724","202,130"
Associate Degree (Occupational or Technical),"523,284","510,064","509,929","452,820","146,595","116,607","61,303","2,320,602","2,324,038"
Associate Degree (General Education or Transfer),"617,567","578,681","516,194","477,981","134,646","105,029","53,393","2,483,491","2,507,590"
Certificate or Diploma (Less than 2 Years),"149,683","199,971","224,996","227,670","110,870","108,607","60,806","1,082,603","1,155,692"
Certificate or Diploma (At Least 2 Years),"69,307","67,970","67,495","64,415","20,725","16,456","8,779","315,147","315,176"
Teaching Credential (Nondegree),"13,246","18,007","14,502","14,111","5,203","4,495","2,897","72,461","70,146"
Graduate or Professional Degree,"489,536","634,925","506,073","348,338","112,106","91,740","51,043","2,233,761","2,232,407"
Other/Undecided,"262,563","237,563","177,931","176,564","56,072","44,599","24,665","979,957","922,918"
Blank,"17,473","15,972","14,236","14,607","6,613","5,527","2,871","77,299","71,329"
Parent Education Level,,,,,,,,,
Neither Parent Completed College or Beyond,"2,441,283","2,272,327","1,767,945","1,495,664","499,363","415,969","219,813","9,112,364","9,117,273"
One Parent Completed College or Beyond,"1,473,636","1,350,097","1,002,614","791,992","227,922","180,012","93,864","5,120,137","5,118,008"
Both Parents Completed College or Beyond,"1,504,399","1,362,901","870,794","628,343","171,484","130,965","68,229","4,737,115","4,734,335"
Pell Eligibility Status,,,,,,,,,
Pell Eligible,"2,732,418","2,346,916","1,748,957","1,436,234","469,787","399,420","213,667","9,347,399","10,719,440"
Pell Ineligible,"2,686,900","2,638,409","1,892,396","1,479,765","428,982","327,526","168,239","9,622,217","8,250,176"
Dependency Status,,,,,,,,,
Dependent,"3,147,624","2,619,089","1,490,898","1,092,756","239,624","169,068","91,851","8,850,910","8,877,285"
Independent,"2,271,694","2,366,236","2,150,455","1,823,243","659,145","557,878","290,055","10,118,706","10,092,331"
Renewal Application Status,,,,,,,,,
